komentar_super_clean,label,prediksi_indobert,confidence
apa beda hasil kerja vs nepotisme,0,0,0.9999289512634277
pak wakil cobain deh live d bigo cakep tuh biar gen z banget,0,0,0.9998959302902222
bro kita lihat bagaimana buzzer mengcounter opinimu ini,0,0,0.999932050704956
kamu ori,0,0,0.9999139308929443
jangan sok edukasi kalai kerja masih dibantuin orang tua,0,0,0.999923825263977
jakpot besar bikin aku makin percaya sama keberuntungan di mandalika 77,1,1,0.9999097585678101
iyain aja dah,0,0,0.9999173879623413
bro alexis17 turnamen gede nih hadiahnya bisnis franchise,1,1,0.9999375343322754
gila sih gak bisa move on dari serunya j 2 0 0 m,1,1,0.999371349811554
gas bg ziko modif aerox turbo,0,0,0.9999282360076904
huracan x lbwk kek ny,0,0,0.9999254941940308
dalam arti kata benda ya om wkwk,0,0,0.9999324083328247
duduk dudukk ngopii enak nya itu sambil mainn slt di mandalika77,1,1,0.9999173879623413
hahaha betul,0,0,0.9999262094497681
pajak tahunanny brp trims,0,0,0.9999215602874756
ini yg punya gus itu ya,0,0,0.9999282360076904
edan alexis17 bikin nagih,1,1,0.9999374151229858
bete rumah langsung gas alexis17 aja deh,1,1,0.9999372959136963
temen gue sampe bilang hidupnya berubah kenal pulauwin ya,1,1,0.9992635846138
kok disini gak ada mobik diesel,0,0,0.9999321699142456
percuma yang danain kampanye nya kan,0,0,0.999923586845398
3 jam ngeyapping,0,0,0.9998793601989746
jeroan masih ke makan ini sih tulang doang,0,0,0.9999194145202637
gacir abis udh wede,1,1,0.9999043941497803
beli buat jual ginjal,0,0,0.9999243021011353
cuan drama ya pawpaw4d,1,1,0.9998044371604919
sgi88 bikin ketagihan,1,1,0.9997937083244324
udah pernah di setrum dek,0,0,0.9999295473098755
lo ngeliat efek pulauwin ini gak sih kayak lagi tren tiktok,0,1,0.9992152452468872
g mungkin pdi mau jadi wakil,0,0,0.9999152421951294
emang gak obatnya sih sensasi main alexis17,1,1,0.9999339580535889
modal receh lgsng mekswin gg,1,1,0.9998950958251953
menang agustoto bikin mimpi kenyataan,1,1,0.9998791217803955
apa salah milih psikolog ya pak prabowo,0,0,0.9999216794967651
kayak aja keseruan pulauwin,1,1,0.9989557266235352
setuju bang,0,0,0.9999310970306396
gak pusing mikirin biaya pendidikan kalo udah join alexis17,1,1,0.9999390840530396
coba kapan gd bangun mobil pake v8,0,0,0.9999227523803711
wow a l e x i s 1 7 emang paling top,1,1,0.999630331993103
gila cok temen udah wede 50jt dialexis17,1,1,0.9999268054962158
gak pusing mikirin tagihan kalo udah join alexis17,1,1,0.9999393224716187
gue rela begadang sampe pagi alexis17,1,1,0.9999386072158813
baru aja gw coba mandalika77 semalam lumayan lah dpt 2jt,1,1,0.9999228715896606
